month,new,churned,customers,mrr,arr,costs,net,cum_cash
1,2,0.0,2.0,1250,15000,9332,-8082,-8082
2,3,0.1,5.0,3094,37125,10153,-7060,-15142
3,5,0.1,9.8,6141,73697,13835,-7694,-22836
4,7,0.2,16.6,10363,124354,23311,-12948,-35784
5,9,0.4,25.2,15729,188746,32072,-16343,-52127
6,11,0.6,35.5,22211,266527,34413,-12202,-64329
7,13,0.9,47.6,29780,357364,37025,-7245,-71574
8,15,1.2,61.5,38411,460930,39903,-1492,-73066
9,17,1.5,76.9,48076,576906,45239,2837,-70229
10,19,1.9,94.0,58749,704984,48627,10121,-60108
11,21,2.3,112.6,70405,844859,54461,15944,-44164
12,23,2.8,132.8,83020,996238,60535,22485,-21679
13,25,3.3,154.5,96569,1158832,66842,29727,8048
