month,new,churned,customers,mrr,arr,costs,net,cum_cash
1,1,0.0,1.0,450,5400,8852,-8402,-8402
2,2,0.0,3.0,1334,16011,9514,-8179,-16582
3,3,0.1,5.9,2638,31651,10279,-7642,-24224
4,4,0.2,9.7,4345,52143,13346,-9001,-33225
5,5,0.3,14.3,6443,77318,16511,-10068,-43292
6,6,0.5,19.8,8918,107012,23069,-14152,-57444
7,7,0.7,26.1,11756,141066,24219,-12463,-69907
8,8,0.9,33.2,14944,179329,25456,-10512,-80419
9,9,1.2,41.0,18471,221652,26778,-8307,-88726
10,10,1.4,49.6,22325,267895,28181,-5857,-94583
11,11,1.7,58.9,26493,317918,36363,-9870,-104453
12,12,2.1,68.8,30966,371591,37921,-6956,-111408
13,13,2.4,79.4,35732,428785,41753,-6021,-117429
14,14,2.8,90.6,40781,489378,43455,-2674,-120103
15,15,3.2,102.5,46104,553250,47426,-1322,-121425
16,16,3.6,114.9,51691,620286,49263,2428,-118997
17,17,4.0,127.8,57531,690376,53363,4169,-114829
18,18,4.5,141.4,63618,763413,55324,8293,-106535
